"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"862673716345536512","","","2017-05-11 14:20:16 +0000","<a href=""https://egghead.io/"" rel=""nofollow"">The Learning Bot By Sashka</a>","The Multiwavelength Crab https://t.co/9NxU37rqTn","","","","https://twitter.com/Aleks_Semenets/status/862673716345536512/photo/1"
"862609872730423296","","","2017-05-11 10:06:34 +0000","<a href=""https://egghead.io/"" rel=""nofollow"">The Learning Bot By Sashka</a>","Test","","","",""
